index,label
5046,5
6626,2
6659,1
3947,2
2183,4
6436,0
2386,4
2320,5
7459,8
5105,7
9535,1
5190,0
9596,5
4845,3
380,6
6297,5
3410,4
2763,4
3082,7
2491,9
6874,6
92,8
3076,2
581,0
2092,1
5942,4
771,1
7018,0
4870,8
4164,1
9722,3
3023,3
114,1
6367,4
6222,0
9913,7
4070,9
142,6
4688,7
5700,3
3511,0
9936,8
8139,1
3363,2
164,8
283,1
4156,3
8562,2
6430,1
5806,0
5977,6
4186,7
6667,7
1344,9
639,5
6102,3
7159,6
3325,6
6927,5
6269,7
210,7
6013,6
842,7
3364,4
2055,5
5504,5
2016,6
4440,2
5570,5
6372,1
3291,5
1678,2
338,0
3655,9
8666,0
4739,6
68,3
4377,4
7263,5
7104,2
5551,7
7616,0
5689,3
2775,3
7038,0
4043,3
8403,6
7698,0
9445,9
8309,4
6019,6
8404,2
1584,7
952,6
3613,5
9997,5
8369,4
1649,5
3157,9
1575,2
8833,6
2683,5
4788,6
5680,2
1005,1
1294,8
6761,5
4663,1
6817,1
2314,3
6781,3
6979,5
4100,7
3935,4
2150,9
8934,7
2938,2
3987,1
5925,3
2392,5
7606,6
1648,8
4389,8
5104,8
7320,8
6665,4
2625,2
8585,9
4557,0
486,9
6684,8
3009,7
6766,8
3575,3
5506,3
787,9
8382,3
817,5
1441,4
2543,3
1667,6
6961,8
5237,4
1491,4
6265,4
1306,1
3390,3
9622,5
7255,3
1130,7
8401,3
1630,9
7963,7
5101,5
8923,6
7957,4
7713,5
4610,6
1202,2
7062,4
2492,8
267,4
8009,5
8304,1
8487,4
1171,9
7781,5
364,9
2632,3
796,1
7494,2
1570,4
7922,8
8601,3
4886,3
624,7
3033,1
7562,2
2736,8
2404,0
2635,6
9558,0
7463,2
2436,6
8769,0
2881,7
1710,4
5841,6
208,7
2319,7
9958,9
5655,3
3142,5
243,9
6022,0
8527,1
2812,0
1905,3
9353,5
3723,1
3,0
877,2
115,3
2218,4
5196,2
7852,5
1975,6
5115,5
2808,2
35,2
7449,0
4550,9
5308,9
9625,2
2493,9
2740,1
8100,6
3022,7
8695,4
2572,6
7501,9
8538,7
989,0
8017,0
6674,5
7830,2
2337,7
5618,0
8525,3
6515,2
5225,0
4468,9
4162,0
6862,5
7980,3
9657,5
1154,6
2724,0
6094,5
104,1
6619,0
8133,8
3508,3
4055,1
8714,4
9567,7
9529,9
7825,3
413,6
1118,4
4789,9
2699,4
2062,7
6126,3
9394,5
2246,9
5673,5
8339,8
4821,4
9792,8
934,7
4205,4
3998,2
7748,0
7481,4
6089,7
6519,2
2073,2
6428,5
446,5
1405,1
5990,8
4102,0
515,3
7219,7
3659,6
2778,4
1269,3
2985,2
7334,5
9252,7
398,0
2410,3
3480,2
4570,9
4950,2
3155,8
3700,3
7799,9
7625,7
6437,0
5474,1
7841,6
2768,5
8949,7
9993,5
1219,3
5410,3
457,5
5774,5
3570,3
4736,1
950,3
200,5
1637,5
2045,1
6179,8
3090,4
1109,0
9902,6
7271,7
5930,5
7569,3
2661,3
2380,8
7120,7
8842,4
1665,6
3473,2
1232,1
7339,6
3837,9
1328,5
8531,8
2846,6
5995,0
7681,0
7247,8
9574,4
3652,2
9162,1
8615,9
7622,9
9286,7
6431,1
10,0
8854,4
1085,4
2802,6
9962,4
9629,1
7894,1
4167,0
9361,8
8596,1
3994,8
545,9
3812,9
5542,9
9881,9
9807,1
5479,2
971,4
2505,7
9010,8
9523,5
6314,6
9277,3
1634,6
2858,4
9381,2
9949,3
1719,0
8402,0
2313,6
3553,1
2369,1
5656,3
4020,8
7235,2
326,7
4353,6
9006,6
7288,7
5839,2
3589,7
2937,3
7353,8
5220,0
3493,0
5927,6
509,4
4265,6
3840,6
9572,8
6596,3
7666,2
5981,7
4288,1
7111,5
1049,4
6813,6
7688,8
6178,5
6765,8
8543,0
9573,2
6083,2
196,8
9088,2
7824,9
9725,8
1886,8
2524,3
9597,4
4247,5
7258,5
3240,4
7675,8
1907,1
3014,6
9887,5
5261,2
9161,6
6545,9
4367,0
3769,9
7733,0
7673,5
4016,6
7362,9
1742,8
122,1
2842,7
2752,3
3350,8
2877,0
9656,0
3986,7
4171,0
9784,8
3437,7
915,1
5657,2
9748,3
6270,2
3671,4
8942,6
1192,6
5002,8
400,9
7647,6
1999,5
7928,2
588,8
9644,0
5949,6
3502,8
8386,3
5073,8
9708,9
5348,1
6746,2
2083,2
1442,3
3165,1
7912,0
7014,3
7342,7
6187,0
5012,6
4444,8
5498,9
4539,8
1363,1
7745,7
8859,2
1017,6
805,4
2642,7
1299,7
9113,1
9028,8
8442,6
7095,4
2195,4
3912,8
8783,6
6780,7
9942,7
7141,5
1021,1
9012,8
4216,0
214,8
8781,6
8497,4
5699,4
1591,1
4310,4
1291,9
3636,4
8484,3
6109,2
5321,1
7086,7
1259,8
7116,0
4141,8
4603,6
761,6
2503,8
5042,2
3226,8
4157,2
1193,5
9889,8
9205,4
8800,0
2546,8
4292,1
2363,2
1007,8
4421,2
866,3
8160,6
9927,9
1401,4
5792,2
3992,0
1894,3
5675,7
4224,5
3979,9
451,9
9268,7
8739,3
1936,3
2418,8
3976,1
415,9
9004,7
2398,8
7994,0
6293,3
8075,8
3321,0
7636,5
2654,5
441,4
447,0
6998,8
6267,9
2826,4
8331,3
1546,4
867,7
4394,5
3497,0
2429,8
2894,6
5095,8
9667,9
6399,1
3685,2
8516,8
4073,6
5475,0
6382,4
2346,1
5219,2
1500,1
8956,2
7602,2
6080,1
2175,3
3939,9
3643,8
7134,4
3528,1
9240,8
9731,2
7140,4
6965,6
8641,7
2119,6
6758,8
5744,2
4360,6
6043,5
4155,3
8089,9
2912,2
205,3
8042,7
5903,4
1032,6
6208,8
6878,5
8318,2
6829,8
4930,1
7170,9
8931,9
6401,4
2645,1
2867,7
5587,0
4937,0
7619,5
1116,5
9892,5
2076,3
3594,3
5327,0
4498,8
6689,8
1595,3
5191,3
5319,7
9020,7
5153,7
6907,6
7887,5
9895,4
4703,4
1755,7
5083,9
7234,9
3809,4
4746,6
2980,8
9970,2
774,0
9786,6
1986,4
6847,8
5631,6
