image id,true label,confidence,prediction
0,3,0.9999663127019712,"[3.0820778901893527e-06, 5.5432380125816465e-06, 4.081569271217408e-06, 0.9999663127019712, 1.9079990556211067e-06, 1.2074044752807236e-05, 2.8014537203899892e-06, 1.0399494937442144e-06, 1.8986976664714206e-06, 1.2582681657013159e-06]"
1,8,0.9999853919880703,"[3.879309608571155e-06, 8.880089595725932e-06, 1.4789915513743038e-07, 3.050893799214519e-07, 1.657071356651304e-07, 6.45327004843144e-08, 4.413863310350896e-07, 2.4656977497620255e-07, 0.9999853919880703, 4.774282480428164e-07]"
2,8,0.9989291281220459,"[4.009324077659921e-05, 0.0009964088771179, 1.4504213796043934e-06, 8.948329173493535e-07, 3.5745325119756703e-06, 1.3640646642618428e-06, 4.85017926727845e-06, 2.737022257716488e-06, 0.9989291281220459, 1.949870706132611e-05]"
3,0,0.9991496505278334,"[0.9991496505278334, 2.4417291076397557e-05, 4.643978117131174e-05, 0.00019091006576531092, 3.628193716612676e-06, 2.4729475504373294e-06, 2.6641571382138347e-06, 9.833535782178847e-06, 0.000341269053133276, 0.00022871444683263554]"
4,6,0.9999738549093979,"[6.476676868473854e-07, 2.065102370793717e-06, 1.0306600463193461e-05, 3.3102116647993992e-06, 5.516185293834873e-06, 7.127282222446626e-07, 0.9999738549093979, 9.758581750280155e-07, 1.5206204043752208e-06, 1.090116320934114e-06]"
5,6,0.9999843259236255,"[1.7235990856677664e-07, 6.886801488919662e-07, 8.206316245581233e-07, 8.217679137338224e-06, 1.60832497767907e-06, 2.2353102841477946e-06, 0.9999843259236255, 1.0170714296784287e-06, 6.119970337791972e-07, 3.0202182975463835e-07]"
6,1,0.9980897516112198,"[4.356662974433492e-05, 0.9980897516112198, 6.93511526233307e-06, 0.0012643363025377102, 6.049223674738881e-06, 0.00045851650763474426, 1.4354292099169187e-05, 1.6502556101928756e-05, 3.101553309025822e-05, 6.897222863512374e-05]"
7,6,0.9994340229490426,"[0.00012048634475655921, 2.793805077451461e-05, 0.0002401967979850084, 4.120301268926466e-05, 2.8656992997239514e-05, 1.729554992508298e-05, 0.9994340229490426, 5.921203156663459e-05, 8.045233653708059e-06, 2.294303660912082e-05]"
8,3,0.9999765819311998,"[1.6115889022247745e-06, 9.11077551532998e-07, 3.677201054150646e-07, 0.9999765819311998, 2.0659137839218223e-06, 1.5906218850116282e-05, 8.451477857087681e-07, 8.537505463258327e-07, 3.3174662263225823e-07, 5.249046522049249e-07]"
9,1,0.9972322048818144,"[9.538064080283054e-06, 0.9972322048818144, 2.74365497397741e-06, 8.968993109382026e-06, 2.3467428076724458e-06, 4.705659474151851e-06, 3.289871877859284e-05, 7.37007125441417e-06, 8.087139238871911e-05, 0.002618351821318346]"
10,0,0.9999367358945361,"[0.9999367358945361, 1.4973797750023036e-06, 2.4681429096524917e-05, 3.990469244875195e-06, 1.0040253669244351e-05, 5.448807958603349e-06, 1.4577622313373844e-06, 3.7314151627396733e-06, 8.001252486022738e-06, 4.415335839622859e-06]"
